stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
53,0.5,2.5,53.803826400020625,,53.79050240002107,53.803826400020625,54.301883700012695,54.301883700012695,54.3182594999671,54.60209549998399,55.12198489997536,right,2.5,1,1,0.811466199986171,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
54,0.5,2.5,55.13586049998412,,55.12217699998291,55.13586049998412,55.63616669998737,55.63616669998737,55.63616669998737,55.93607990001328,56.12153359997319,right,2.5,1,1,0.4784886999987066,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
55,0.5,2.0,56.13634119997732,,56.12173369998345,56.13634119997732,56.636155600019265,56.636155600019265,56.636155600019265,56.93588229996385,57.037108000018634,right,2.0,0,0,0.3924540000152774,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
56,0.5,2.5,57.0519656999968,,57.03724889998557,57.0519656999968,57.55125079996651,57.55125079996651,57.55125079996651,57.85109899996314,57.90315699996427,left,-2.5,0,0,0.33750100003089756,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
57,0.5,3.0,57.918616999988444,,57.9033131999895,57.918616999988444,58.418421800015494,58.418421800015494,58.418421800015494,58.73375600000145,58.83925919997273,right,3.0,1,1,0.40573620004579425,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
58,0.5,3.0,58.853270299965516,,58.839501500013284,58.853270299965516,59.353038000001106,59.353038000001106,59.353038000001106,59.65289789997041,59.9231129999971,right,3.0,1,1,0.5580543999676593,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
59,0.5,3.0,59.937323199992534,,59.923331499972846,59.937323199992534,60.43725479999557,60.43725479999557,60.4529236999806,60.73669290001271,60.923250399995595,right,3.0,1,1,0.47608960000798106,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
60,0.5,2.5,60.93709229998058,,60.92348060000222,60.93709229998058,61.43650409998372,61.43650409998372,61.43650409998372,61.736559799988754,61.88984800002072,left,-2.5,0,0,0.44716280000284314,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
61,0.5,3.0,61.90390939998906,,61.89007439999841,61.90390939998906,62.40251990000252,62.40251990000252,62.41925949999131,62.70260199997574,62.97191650001332,right,3.0,1,1,0.5670731000136584,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
62,0.5,3.0,62.986424100003205,,62.9721110999817,62.986424100003205,63.486475399986375,63.486475399986375,63.486475399986375,63.801727499987464,63.93682699999772,left,-3.0,1,1,0.44143040000926703,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
